Hour,Actual_Load,LSTM_Prediction,ARIMA_Prediction
0,914.7111751,918.7481828122799,927.9967582707666
1,892.2714907,888.8679700762597,925.5017920036325
2,885.5739897,874.4892506685086,945.4076298747725
3,888.6801523,883.4500567279432,980.4140861166218
4,908.1853428,916.6405765458792,1023.3391965036559
5,960.8739924,970.8864823270931,1067.8438437543414
6,1030.575869,1038.2880388784718,1108.8994017667073
7,1086.503735,1094.466416727205,1143.0092553318161
8,1131.349041,1144.3426888161307,1168.2183003093462
9,1156.013746,1185.141816607689,1183.958793031466
10,1159.853774,1203.2718309738004,1190.7867949525682
11,1154.243996,1207.8112934197916,1190.0622863761673
12,1153.580005,1194.2147092811808,1183.6195655202648
13,1147.313411,1177.0290641568015,1173.4647130907701
14,1150.365328,1172.9631308623038,1161.5255046385075
15,1164.582478,1176.8453358635047,1149.4677505824304
16,1180.566288,1180.8504382317803,1138.5818320835428
17,1176.132719,1194.2633304157598,1129.7349721732692
18,1200.015214,1210.6470538675771,1123.3789357826934
19,1176.081581,1197.858314604022,1119.5994469676
20,1128.585245,1144.0480912540743,1118.1924351228122
21,1063.05805,1068.5621445803129,1118.752878605584
22,992.844422,1007.7530397269223,1120.7640083747035
23,933.0415461,957.758358096124,1123.6774457338056
