Index,Order,p,d,q,History_Hours,MAE,RMSE,MAPE,Eval_Time_Sec
30,"ARIMA(2, 0, 2)",2,0,2,168,119.2695043820249,143.03088142733407,10.894954532371065,32.38
47,"ARIMA(2, 0, 2)",2,0,2,336,119.3946835802783,143.69974934985711,10.953487808313346,47.88
13,"ARIMA(2, 0, 2)",2,0,2,72,121.29695786859932,147.02607918428888,10.835814673114635,23.07
45,"ARIMA(2, 0, 0)",2,0,0,336,130.87526136374817,157.59297590846504,12.111850411775198,22.29
46,"ARIMA(2, 0, 1)",2,0,1,336,132.4552030608268,159.65068088635277,12.327962009681132,37.15
28,"ARIMA(2, 0, 0)",2,0,0,168,132.46188885413204,159.02459962251012,12.254813844250387,15.63
50,"ARIMA(2, 1, 2)",2,1,2,336,132.6389644161754,158.84355299550168,12.321494472695708,62.4
29,"ARIMA(2, 0, 1)",2,0,1,168,133.492351236102,160.25796734506943,12.41145585744908,23.72
33,"ARIMA(2, 1, 2)",2,1,2,168,135.3550129782098,162.34426695568862,12.594880214938277,37.16
24,"ARIMA(1, 0, 2)",1,0,2,168,138.55365496133248,169.68086227230802,13.274650360431558,25.6
41,"ARIMA(1, 0, 2)",1,0,2,336,138.59448535372928,170.1006552101314,13.290383996037082,40.55
12,"ARIMA(2, 0, 1)",2,0,1,72,139.08589643708092,166.1943148625346,12.846809484706798,18.49
16,"ARIMA(2, 1, 2)",2,1,2,72,139.85590664374195,167.66529630257324,12.974909671127008,25.14
7,"ARIMA(1, 0, 2)",1,0,2,72,140.05743885797048,170.44377994155772,13.367687825268089,17.53
11,"ARIMA(2, 0, 0)",2,0,0,72,140.73707527342117,168.51845073000172,12.971877853390115,10.57
23,"ARIMA(1, 0, 1)",1,0,1,168,141.4645439190945,172.9391927720355,13.575947269648807,22.19
40,"ARIMA(1, 0, 1)",1,0,1,336,141.56314357319235,173.32239795376495,13.596846200783723,34.96
6,"ARIMA(1, 0, 1)",1,0,1,72,142.63267613720808,173.57443418308128,13.644787706572725,14.51
22,"ARIMA(1, 0, 0)",1,0,0,168,145.5609186335938,175.72737764284255,13.887188465725885,12.24
39,"ARIMA(1, 0, 0)",1,0,0,336,145.6571246381003,176.06520425331072,13.905465651599489,16.88
5,"ARIMA(1, 0, 0)",1,0,0,72,146.51093434772596,176.18115805371733,13.947579594581946,8.18
19,"ARIMA(0, 1, 0)",0,1,0,168,158.11257550202086,199.8548502292566,15.34131952397175,7.32
2,"ARIMA(0, 1, 0)",0,1,0,72,158.11257550202086,199.8548502292566,15.34131952397175,6.49
36,"ARIMA(0, 1, 0)",0,1,0,336,158.11257550202086,199.8548502292566,15.34131952397175,7.79
18,"ARIMA(0, 0, 2)",0,0,2,168,158.70442216588796,183.65221159739824,14.475090587730588,44.04
37,"ARIMA(0, 1, 1)",0,1,1,336,158.72768167108308,204.00308575734,15.591036912939831,18.8
20,"ARIMA(0, 1, 1)",0,1,1,168,158.7623907863112,203.98906070670515,15.592196342136411,15.2
35,"ARIMA(0, 0, 2)",0,0,2,336,158.85541155780697,184.21432296545524,14.48103693953784,71.23
3,"ARIMA(0, 1, 1)",0,1,1,72,158.88849633886733,204.09876062976585,15.604206731252445,10.68
1,"ARIMA(0, 0, 2)",0,0,2,72,160.35127935839498,185.3739469353411,14.62537355262966,23.14
17,"ARIMA(0, 0, 1)",0,0,1,168,161.3008134893288,185.31625762236064,14.668257019611476,24.86
34,"ARIMA(0, 0, 1)",0,0,1,336,161.38621980450947,185.86772790435384,14.669418895883252,36.29
0,"ARIMA(0, 0, 1)",0,0,1,72,162.8312296682642,186.90622854067067,14.80557502089266,15.8
38,"ARIMA(0, 1, 2)",0,1,2,336,162.88075298650392,209.99152686018505,16.099402375055806,24.67
21,"ARIMA(0, 1, 2)",0,1,2,168,162.9986341245569,209.9863905526744,16.105848576178023,19.09
4,"ARIMA(0, 1, 2)",0,1,2,72,163.36877684066866,210.0849826975027,16.13185828497332,12.82
49,"ARIMA(2, 1, 1)",2,1,1,336,165.49743896478597,214.09102977691708,16.43567799740256,29.81
32,"ARIMA(2, 1, 1)",2,1,1,168,166.70928443069437,215.0398739640563,16.51350291066658,20.27
15,"ARIMA(2, 1, 1)",2,1,1,72,169.98492260657855,218.0741247887796,16.758002652300068,16.18
48,"ARIMA(2, 1, 0)",2,1,0,336,172.07978760604482,222.9646480650025,17.030442210870934,15.56
31,"ARIMA(2, 1, 0)",2,1,0,168,172.56164236608657,223.0750772396008,17.04878277156841,11.74
14,"ARIMA(2, 1, 0)",2,1,0,72,175.83228673488605,225.8560713994512,17.338374514512196,9.46
44,"ARIMA(1, 1, 2)",1,1,2,336,195.5552642177134,255.4867708935428,19.565859833107925,23.82
27,"ARIMA(1, 1, 2)",1,1,2,168,195.90972291740508,255.40047717371064,19.58699342665768,17.67
10,"ARIMA(1, 1, 2)",1,1,2,72,199.97392234322075,259.3094021061313,19.970478973297496,12.48
43,"ARIMA(1, 1, 1)",1,1,1,336,212.58060808022648,276.7363637103104,21.247756258159747,17.39
26,"ARIMA(1, 1, 1)",1,1,1,168,213.66357204219477,277.7427093186016,21.33261731699105,13.05
9,"ARIMA(1, 1, 1)",1,1,1,72,219.48073274241648,284.04261482203725,21.884109200236377,10.23
42,"ARIMA(1, 1, 0)",1,1,0,336,287.98934825035013,361.6846318484562,28.40922621830315,12.32
25,"ARIMA(1, 1, 0)",1,1,0,168,289.2590392703908,363.0599768827949,28.51062993891276,10.35
8,"ARIMA(1, 1, 0)",1,1,0,72,297.180648117833,371.8068139144763,29.251338596222908,8.4
